Sector,No data to report (0),Score (0-25),Score (25-50),Score (50-75),Score (75-100)
Palm oil,0.2360248447,0.1055900621,0.2360248447,0.1739130435,0.248447205
Paper Products,0,0.2178217822,0.0396039604,0.009900990099,0.7326732673
Beef and Dairy feed,0.6407185629,0.07185628743,0.02994011976,0.02395209581,0.2335329341
Beef and Dairy feed,0.7358490566,0.1132075472,0,0.05660377358,0.09433962264
Palm oil*,0.6,0.06666666667,0.04444444444,0.04444444444,0.2444444444
Paper Products,0,0.07777777778,0.07777777778,0.6555555556,0.1888888889
