Year,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cumulative pledges and goal trajectory,18000000,20000000,20000000,59200000,59580000,77664000,95748000,113832000,131916000,150000000
Annual pledges,18000000,2000000,0,39200000,380000,0,0,0,0,0
