climate mitigation,Bilateral mitigation principle,Bilateral mitigation significant,Multilateral,Grants,Loans,Equity
Channel,317890075.9,158106201.7,287535003.1,0,0,0
Financial instrument,0,0,0,472149829.9,233151611,58229839.82
