.,NICFI - Amazon Fund,NICFI -Indonesia,NICFI Guyana,NICFI-Peru,NICFI-Liberia,FCPF Carbon Fund,Bio Carbon Fund,KfW REM (TBC)
Commitments,1000,1000,250,300,80,465,397,47
Disbursements,650,40.9,69.8,0,0,0,0,40
